Category,Category2,Description,Order in Series,Incremental Percent of Population,Cumulative Percent of Population,Resource Level of this Segment,Units,Resource Level as Percent of Max,Segment Area = Resource Level * Segment Size ,Cumulative Resource Level,Cumulative Percent of Resource,Cumulative Percent of Resource IF EQUALLY DISTRIBUTED,Area under Lorenz Curve,Gini Coefficient,Color
Financial,Income,Income (Global 2021 USD),1,0.0000,0.0000,0.0000,US dollars,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.68,gold
Financial,Income,Income (Global 2021 USD),2,0.1000,0.1000,750.0000,US dollars,0.0008,75.00,75.00,0.0034,0.1000,0.00017,0.68,gold
Financial,Income,Income (Global 2021 USD),3,0.0500,0.1500,1500.0000,US dollars,0.0015,75.00,150.00,0.0068,0.1500,0.00025,0.68,gold
Financial,Income,Income (Global 2021 USD),4,0.0500,0.2000,2200.0000,US dollars,0.0022,110.00,260.00,0.0118,0.2000,0.00046,0.68,gold
Financial,Income,Income (Global 2021 USD),5,0.1000,0.3000,3300.0000,US dollars,0.0033,330.00,590.00,0.0267,0.3000,0.00193,0.68,gold
Financial,Income,Income (Global 2021 USD),6,0.1000,0.4000,4800.0000,US dollars,0.0048,480.00,"1,070.00",0.0485,0.4000,0.00376,0.68,gold
Financial,Income,Income (Global 2021 USD),7,0.1000,0.5000,6700.0000,US dollars,0.0067,670.00,"1,740.00",0.0789,0.5000,0.00637,0.68,gold
Financial,Income,Income (Global 2021 USD),8,0.1000,0.6000,9500.0000,US dollars,0.0095,950.00,"2,690.00",0.1219,0.6000,0.01004,0.68,gold
Financial,Income,Income (Global 2021 USD),9,0.1000,0.7000,14000.0000,US dollars,0.0140,"1,400.00","4,090.00",0.1854,0.7000,0.01537,0.68,gold
Financial,Income,Income (Global 2021 USD),10,0.1000,0.8000,22500.0000,US dollars,0.0225,"2,250.00","6,340.00",0.2874,0.8000,0.02364,0.68,gold
Financial,Income,Income (Global 2021 USD),11,0.1000,0.9000,37000.0000,US dollars,0.0370,"3,700.00","10,040.00",0.4551,0.9000,0.03713,0.68,gold
